"RAZON_SOCIAL";"REGION_OTROS";"REGION_CF";"REGION_BSAS";"REGION_DESCONOCIDO";"REGION_CBA";"PROD_DATOS_RPV";"PROD_INTER_DEDICADO";"PROD_DATOS_ENLACE";"PROD_DATOS_LAN_TO_LAN";"PROD_SD_WAN";"MERC_OTROS";"MERC_CORPORATIVO";"MERC_EMPRESAS";"MERC_GRANDES_CLIENTES";"MERC_PYMES";"CANT_PRODUCTOS";"CANT_ENLACES";"FACTURACION_ARS";"DURACION_CLIENTE_DIAS";"INCIDENTES";"TMR"
"CLUB DELTA ARGENTINO";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"384000";"1509";"11";"171,13"
"CLUB NEWMAN";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"540000";"2257";"4";"472,29"
"COARCO SA";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"1137600";"3059";"12";"3,91"
"COBERTURA DE SALUD SA";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"235200";"1291";"4";"7,37"
"COBRANZAS DEL INTERIOR SRL";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"651";"27";"31,74"
"COCA COLA FEMSA DE BUENOS AIRES";"0";"0";"1";"0";"0";"14";"4";"0";"0";"0";"0";"1";"0";"0";"0";"2";"18";"16677828";"2320";"1632";"77,96"
"CODENE SA";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"210000";"1048";"3";"10,02"
"CODIMAT S.A.";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"258924";"1470";"2";"8,12"
"COELGIO SAN LUCAS NORDELTA SA";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"924000";"1509";"0";"0"
"COFACE COMPAGNIE FRANCAISESSURANCE POUR";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"545";"19";"41,73"
"COFCO INTERNATIONALARGENTINA S.A";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"792000";"1733";"14";"308,19"
"COGENT ARGENTINA S.R.L";"0";"0";"1";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"0";"0";"1";"4";"2370000";"362";"14";"5,02"
"COGNIZANT TECHNOLOGY SOLUTIONS DE ARGENT";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"5640000";"4086";"32";"38,79"
"COHEN SA";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"516000";"1538";"0";"0"
"COL-VEN S.A.";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"2";"600000";"2412";"12";"8,52"
"COLACRIL SAS";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"491400";"0";"0";"0"
"COLD LAND S.A.";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"680400";"2240";"38";"18,3"
"COLEGIO DE ABOGADOS DEL DEPTO";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"0";"347";"3";"37,41"
"COLEGIO DE AGRIMENSORESDE TUCUMAN";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"420000";"823";"11";"43,07"
"COLEGIO DE ESCRIBANOS";"0";"1";"0";"0";"0";"0";"2";"0";"2";"0";"1";"0";"0";"0";"0";"2";"4";"2251200";"4691";"44";"35,3"
"COLEGIO DE FARMACEUTICOS";"0";"0";"1";"0";"0";"2";"3";"0";"0";"0";"0";"1";"0";"0";"0";"2";"5";"1536000";"4842";"316";"208,02"
"COLEGIO DE FARMACEUTICOS DE LA PROVINCIA";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"840000";"810";"16";"171,72"
"COLEGIO DE FARMACEUTICOS DE LAPCIA.STA.F";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"493";"1";"166,38"
"COLEGIO FARMACEUTICO DE MENDOZ";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"252000";"202";"0";"0"
"COLEGIO SAN LUCAS HSM S.A.";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1176000";"2778";"7";"8,4"
"COLEGIO SANTA TERESA S.R.L.";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1440000";"2205";"23";"40,16"
"COLON COMPAÑIA DE SEGUROS S.A";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"308";"41";"43,28"
"COM NACIONAL DE ENERGIA ATOMIC";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"121082,5";"5087";"2";"659,26"
"COM.NACIONAL DE REG.DEL TRANSP";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"431460";"1061";"17";"22,35"
"COMAHUE SEGURIDAD PRIVADA SA";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"1";"3";"806400";"152";"1";"0,49"
"COMASA S.A.";"0";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"2";"3";"1217040";"4365";"76";"61,64"
"COMBUSTIBLES DEL NORTE SA";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"672000";"1403";"4";"7,98"
"COMERCIAL INAL 2005 SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"420000";"1504";"4";"23,21"
"COMERCIALIZADORA DE BIENES DE CAPITAL SA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"720000";"6572";"34";"32,03"
"COMERCIALIZADORA ITURRIA MDP S. A.";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"840000";"1340";"2";"13,24"
"COMERCIO E INDUSTRIA SA";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"54000";"178";"1";"26,91"
"COMISION ARBITRAL DEL CONVENIO MULTILATE";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"372000";"1720";"9";"68,44"
"COMISION NACIONAL DE VALORES C.N.V.";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"85259,33";"691";"12";"15,04"
"COMISION TECNICA MIXTA SALTO GRANDE";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"162136";"1340";"5";"119,46"
"COMITE INTERNACIONAL DE LA CRU";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"0";"3498";"14";"18,78"
"COMPANIA ARGENTINA DE MERCHANDISING SA";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"1242000";"6125";"18";"73,84"
"COMPANIA DE SERVICIOS FARMACEUTICOS S.A.";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"978000";"2588";"23";"31,82"
"COMPANIA INDUSTRIAL CERVECERA S A";"1";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"1";"0";"0";"0";"1";"9";"11593200";"409";"109";"137,54"
"COMPANIA MEGA S A";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"1";"3";"0";"306";"4";"78,05"
"COMPAÑIA ADMINIST DEL MERCADOMAYORISTA E";"0";"1";"0";"0";"0";"2";"1";"0";"1";"0";"0";"1";"0";"0";"0";"3";"4";"3024000";"1448";"30";"346,59"
"COMPAÑIA AMERICANA DE LAPICES SRL";"0";"0";"1";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"3";"2013600";"5305";"64";"63,96"
"COMPAÑIA AVICOLA SA";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"235200";"1001";"3";"6,85"
"COMPAÑIA COMERCIAL DEL PARAGUAY SA";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"306000";"965";"3";"68,8"
"COMPAÑIA DE ALIMENTOS FARGO SA";"0";"0";"1";"0";"0";"7";"4";"0";"0";"0";"0";"1";"0";"0";"0";"2";"11";"10683000";"1015";"760";"26,6"
"COMPAÑIA DE LUGARES SOCIEDAD ANONIMA";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"144";"14";"85,81"
"COMPAÑIA DE LUZ Y FUERZA SA";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"361";"2";"13,01"
"COMPAÑIA DE SEGUROS ELNORTE SOCIEDAD ANO";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1752000";"2006";"2";"61,59"
"COMPAÑIA DISTRIBUIDORA Y LOGISTICA SA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1102";"6";"10,16"
"COMPAÑIA FINANCIERA ARGENTINA";"0";"1";"0";"0";"0";"17";"0";"1";"0";"2";"0";"1";"0";"0";"0";"3";"20";"13164000";"613";"249";"456,87"
"COMPAÑIA GRAL COMBUSTIBLES SA";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"5964000";"937";"4";"18,6"
"COMPAÑIA HASAR SAIC";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"720000";"6919";"144";"52,25"
"COMPAÑIA INTRODUCTORA BUENOS A";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"756000";"431";"0";"0"
"COMPAÑIA LA ISLEÑA S R L";"0";"0";"1";"0";"0";"2";"5";"0";"0";"0";"0";"1";"0";"0";"0";"2";"7";"3927600";"256";"140";"76,62"
"COMPAÑIA PROCESADORA  CARNE SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"680400";"942";"3";"90,96"
"COMPAÑIA SALTEÑA DE AGUA YSANEAMIENTO SO";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"48208";"1049";"14";"20,84"
"COMPAÑIA SUD AMERICANA DEDRAGADOS S A";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"2";"2";"636000";"1259";"34";"16,86"
"COMPAÑIA SUPERGLASS S.A.";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"470400";"1460";"2";"22,92"
"COMPAÑIAS ASOCIADAS PETROLERAS";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1908000";"4749";"32";"43,13"
"COMPENSADORA ELECTRONICA SA";"0";"1";"0";"0";"0";"21";"2";"20";"1";"0";"0";"0";"0";"1";"0";"4";"44";"76714500";"2385";"844";"395,16"
"COMPERCOM AGRUPACION DE COLABORACION EMP";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"235";"0";"0"
"COMPLEJO ALIMENTICIO SAN SALVA";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"1764000";"1005";"8";"14,6"
"COMPRANDOENGRUPO.NET S.A.";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1260000";"613";"2";"3,1"
"COMPUBECCAR SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"660000";"616";"5";"9,78"
"COMPUTACION CEICOM S.A.";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"4568";"0";"0"
"COMUNICACION MULTIMEDIA SA";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"2";"732000";"2236";"20";"11,2"
"COMUNICACIONES A & CIA SRL";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"4368000";"13";"1";"18,54"
"COMUNICACIONES VALLES CALCHAQU IES SRL";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"0";"0";"0";"1";"4";"36480000";"150";"12";"60,32"
"COMUNICACIONES Y CONSUMOS S.A.";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1860000";"2582";"27";"16,61"
"COMUNICACIONES Y SERVICIOS SRL";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"2700000";"110";"1";"20,57"
"COMUNICACIÓN CELULAR S.A. - COMCEL S.A";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"1061";"0";"0"
"COMWAY SRL";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"3";"3298800";"235";"22";"13,57"
"CONARPESA CONTINENTAL ARMADORES DE PESCA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1140000";"4394";"10";"68,32"
"CONCEJO DELIBERTANTE DE LA CAP";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"239580";"216";"1";"22,93"
"CONCRET NOR SA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"646800";"593";"1";"2,44"
"CONDOMINIUM ABASTO BUENOS AIRES SA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"600000";"969";"0";"0"
"CONEX SARMIENTO PROTECCION LEGAL M&D SRL";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"2";"319200";"2188";"40";"103,28"
"CONEXIN S.R.L.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"11942400";"991";"11";"27,47"
"CONEXTUBE SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"882000";"1041";"15";"15,11"
"CONEXYS  SRL";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"387600";"1587";"5";"6,02"
"CONFEDERACION ARGENTINA DE LA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"885600";"3202";"16";"32,39"
"CONFORT ANVE SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"312000";"1538";"19";"62,86"
"CONGELADOS CENTRO S.A";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"708000";"4847";"31";"21,02"
"CONGREGACION HIJAS DE S.CAMILO";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"780000";"977";"8";"167,28"
"CONICET(CONSEJO NAC DE INVESTIGACIONES C";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"10000";"5725";"58";"32,95"
"CONIFERAL SACIF";"0";"0";"0";"0";"1";"0";"4";"0";"0";"0";"0";"1";"0";"0";"0";"1";"4";"1093200";"110";"3";"30,23"
"CONMEGA A.C.E.";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"3";"2632800";"4709";"54";"128,5"
"CONO SA";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"1145";"1";"1,67"
"CONS PROF DE CIENC ECON D";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"319200";"971";"5";"57,5"
"CONSEJERÍA DE EMPLEO Y SEGURIDAD SOCIAL";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"2406";"11";"54,03"
"CONSEJO DE MAGISTRATURA DE LA CIUDAD AUT";"0";"1";"0";"0";"0";"1";"9";"0";"6";"0";"1";"0";"0";"0";"0";"3";"16";"3108000";"4599";"375";"122,22"
"CONSEJO PROF DE AGRIMENSURA DE LA PROVIN";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"2";"2";"684000";"618";"26";"14,2"
"CONSEJO PROF. DE AGRIMENSORES ING. Y AF.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"428400";"2202";"10";"6,53"
"CONSEJO PROFESIONAL DE CIENCIA";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"3884";"1";"2,29"
"CONSEJO PROFESIONAL DE CIENCIAS ECONOMIC";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"294000";"2047";"22";"41,16"
"CONSORCIO DE COPROPIETARIOS EDIFICIO MAR";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"1638000";"276";"9";"40,99"
"CONSORCIO DE PROPIETARIOS DORREGO 2966";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"5838";"0";"0"
"CONSORCIO DE PROPIETARIOS EDIFICIO AMERI";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"8540";"0";"0"
"CONSORCIO PUERTO SEGURO MOVIPORT";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"376800";"112";"0";"0"
"CONSORCIO URUGUAY";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"360000";"103";"5";"15,16"
"CONSTRUCCIONES FUNDAR SA";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"660000";"585";"6";"26,3"
"CONSTRUIR S.A.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"270000";"3007";"9";"17,67"
"CONSTRUTORA QUEIROZ GALVAO SA - ROVELLA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"2";"2";"1032000";"565";"2";"27,1"
"CONSULTA GROUP S.A";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"99,9";"4695";"2";"0,84"
"CONSULTING SERVICES SRL";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"954000";"453";"0";"0"
"CONSULTORA BORIGEN BETZEL SRL";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"450000";"1041";"1";"5,15"
"CONSULTORA MEGATOR S.A.";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"420000";"6387";"38";"15,86"
"CONSULTORA NUCLEO S.A.";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"3303";"2";"18,87"
"CONSULTORES DE EMPRESASSRL";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"540000";"2819";"18";"47,64"
"CONSULTORIA EN TEC DE INFOR SA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"2160000";"1084";"8";"39,93"
"CONTACTO GARANTIDO S.A.";"0";"1";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"1";"0";"0";"2";"4";"1641600";"2315";"50";"56,1"
"CONTACTO SA";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"319200";"906";"1";"1,1"
"CONTACTUS S.A.";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"65";"0";"0"
"CONTADURIA GENERAL DEL EJERCIT";"1";"0";"0";"0";"0";"0";"6";"0";"0";"0";"1";"0";"0";"0";"0";"1";"6";"865845,7";"529";"25";"69,51"
"CONTAR SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"456000";"3009";"14";"36,82"
"CONTE SRL";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"1093693";"593";"15";"43,09"
"CONTENIDOS ADVERTISING SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"432000";"822";"3";"11,18"
"CONTENIDOS PUBLICOS SOCIEDAD DEL ESTADO";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"268031,1";"297";"0";"0"
"CONTROL UNION ARGENTINA S.A.";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"660000";"137";"1";"168,34"
"CONVENIO MARCO DE COOPERACIONTECNICA Y F";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"2";"3";"1332955";"1041";"50";"52,9"
"CONVENIO MARCO MJYDH ACARAAUTOMOTOR LEYE";"0";"0";"1";"0";"0";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"2";"3";"1196958,58";"4538";"62";"44,8"
"COOP AGROPECUARIA LA PAZ LTDA";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"319200";"585";"0";"0"
"COOP ALTAS CIMAS LIMITADA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"287280";"910";"9";"45,94"
"COOP DE PROVDE O Y S PUBL DE P";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"2";"2";"2220000";"1718";"20";"148,72"
"COOP DE TRABAJO DIST DIARIOS Y REV";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"600000";"4536";"7";"20,21"
"COOP ELEC Y DE SERV MARIANO MO";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"1";"7800000";"2154";"17";"66,74"
"COOP FARMACEUTICA DE PROVISION";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"1";"3";"1688400";"238";"4";"23,18"
"COOP LTDA DE PROVISION DE SERVICIOS ELE";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"2";"2";"20070000";"2658";"116";"168,44"
"COOP PCIA SERV TRANSPY CRED CBA STA ISAB";"0";"0";"0";"0";"1";"1";"3";"0";"0";"0";"0";"0";"0";"1";"0";"2";"4";"1207200";"3268";"32";"256,02"
"COOP PROD CITRICOLAS TAFI VIEJ";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"826836";"3938";"7";"15,12"
"COOP PROV SERV AGUA POT Y OTRODE J B ALB";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1200000";"4011";"15";"38,8"
"COOP SERV ELEC Y OTROS S GREGO";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"3600000";"4504";"8";"29,17"
"COOP TELEF DE VIVIENDAS Y OTROS SERV PUB";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0";"1";"3";"0";"6184";"0";"0"
"COOP TRAB VIG CARAMPAGUE LTDA";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"319200";"438";"1";"78,1"
"COOP. AGRIC GANAD. DE TANDIL Y";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"2";"2";"888000";"1516";"4";"11,74"
"COOP. DE SERVICIOS PUBLICOS";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"1712";"4";"17,51"
"COOP. FARMACEUTICA MENDOZA LTDA.";"1";"0";"0";"0";"0";"2";"4";"0";"0";"2";"0";"0";"1";"0";"0";"3";"8";"3882840";"4560";"417";"202,56"
"COOP.BATAN OBR Y SER PUB.LTDA";"0";"1";"0";"0";"0";"0";"1";"0";"3";"0";"1";"0";"0";"0";"0";"2";"4";"13180800";"1826";"66";"105,1"
"COOP.DE PROV.DE SERV.ELECT.SC";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"2880000";"2667";"3";"11,47"
"COOP.TELEF.DE ABASTO LTDA.-";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"3";"3";"6000000";"363";"3";"72,24"
"COOP.TELEFONICA DE VILLA DEL T";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1800000";"1571";"4";"58,61"
"COOPERACION MUTUAL PATRONAL SM";"1";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"1";"0";"0";"0";"2";"4";"1443600";"584";"6";"73,7"
"COOPERATIVA  DE ELECTRICIDAD";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"8082000";"1323";"1";"116,86"
"COOPERATIVA ANDINA DE TRANSPORTE AUTOMOT";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"2";"3";"900000";"1469";"90";"78,88"
"COOPERATIVA ARBOLITO.";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"22800000";"1022";"43";"221,1"
"COOPERATIVA DE CONSUMO DE ELEC";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"288000";"1848";"1";"8,59"
"COOPERATIVA DE ELECTRIFICACION";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"504000";"606";"5";"22,33"
"COOPERATIVA DE TRABAJO CUIDADORES DE LA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"453600";"374";"2";"29,67"
